politician/institution,date,answer,pct_estimate,lo,hi
Congress,2024-04-17,Approve,19.811602834982644,13.068704149493353,26.554501520471934
Congress,2024-04-17,Disapprove,68.51162805497731,61.063726527221235,75.95952958273338
Congress,2024-04-16,Approve,19.813240733215526,13.070382522129439,26.556098944301613
Congress,2024-04-16,Disapprove,68.51014446838579,61.062241441205124,75.95804749556646
Congress,2024-04-15,Approve,20.61688103697235,13.866624961431771,27.367137112512932
Congress,2024-04-15,Disapprove,68.49354573724548,61.042977299736975,75.94411417475399
Congress,2024-04-14,Approve,20.570851309322745,13.820595233782164,27.321107384863325
Congress,2024-04-14,Disapprove,68.4982194468876,61.047651009379095,75.94878788439611
Congress,2024-04-13,Approve,20.586854733042568,13.875315151303447,27.29839431478169
Congress,2024-04-13,Disapprove,68.55122252346692,61.144505984930944,75.9579390620029
Congress,2024-04-12,Approve,20.586948313103136,13.875408731364015,27.298487894842257
Congress,2024-04-12,Disapprove,68.55123629598388,61.14451975744791,75.95795283451986
Congress,2024-04-11,Approve,20.586902480724497,13.875362898985376,27.298442062463618
Congress,2024-04-11,Disapprove,68.55127045511972,61.144553916583746,75.9579869936557
Congress,2024-04-10,Approve,20.58263888142814,13.870902320147053,27.294375442709224
Congress,2024-04-10,Disapprove,68.55976148685977,61.153022262796306,75.96650071092323
Congress,2024-04-09,Approve,20.582157664923265,13.870446012080414,27.293869317766116
Congress,2024-04-09,Disapprove,68.56000885334615,61.15326793390987,75.96674977278242
Congress,2024-04-08,Approve,20.957408806769628,14.236369484896755,27.6784481286425
Congress,2024-04-08,Disapprove,68.1816459665139,60.75526840602289,75.6080235270049
Congress,2024-04-07,Approve,20.957408806769628,14.236369484896755,27.6784481286425
Congress,2024-04-07,Disapprove,68.1816459665139,60.75526840602289,75.6080235270049
Congress,2024-04-06,Approve,20.953199475912626,14.256321334252245,27.650077617573007
Congress,2024-04-06,Disapprove,68.31688567805429,60.78421932030096,75.84955203580762
Congress,2024-04-05,Approve,20.953199475912626,14.256321334252245,27.650077617573007
Congress,2024-04-05,Disapprove,68.31688567805429,60.78421932030096,75.84955203580762
Congress,2024-04-04,Approve,20.950175036486556,14.253289964167008,27.6470601088061
Congress,2024-04-04,Disapprove,68.32409495634597,60.79144747625611,75.85674243643584
Congress,2024-04-03,Approve,20.45097054891461,13.761843143137842,27.14009795469138
Congress,2024-04-03,Disapprove,68.0158702651144,60.522543537864046,75.50919699236476
Congress,2024-04-02,Approve,21.274510522634472,14.571199302396789,27.977821742872155
Congress,2024-04-02,Disapprove,66.72786879533365,59.19733911947169,74.2583984711956
Congress,2024-04-01,Approve,21.309170941414354,14.605859721176671,28.012482161652038
Congress,2024-04-01,Disapprove,66.76025868189896,59.229729006037005,74.29078835776092
Congress,2024-03-31,Approve,21.309170941414354,14.605859721176671,28.012482161652038
Congress,2024-03-31,Disapprove,66.76025868189895,59.22972900603699,74.2907883577609
Congress,2024-03-30,Approve,20.394747890092784,13.675245689991328,27.11425009019424
Congress,2024-03-30,Disapprove,66.5608839501983,59.027223879899985,74.09454402049663
Congress,2024-03-29,Approve,20.394747890092788,13.675245689991332,27.114250090194243
Congress,2024-03-29,Disapprove,66.5608839501983,59.027223879899985,74.09454402049663
Congress,2024-03-28,Approve,21.208604145229362,14.4724398002867,27.944768490172024
Congress,2024-03-28,Disapprove,66.3856135945372,58.781707054996474,73.98952013407794
Congress,2024-03-27,Approve,20.660858117431705,13.92660767695359,27.39510855790982
Congress,2024-03-27,Disapprove,66.7841315308855,59.050752448016205,74.5175106137548
Congress,2024-03-26,Approve,21.964523382798003,15.285003858529183,28.644042907066822
Congress,2024-03-26,Disapprove,65.62444973708222,57.92410229818539,73.32479717597904
Congress,2024-03-25,Approve,22.02278438648661,15.34326486221779,28.70230391075543
Congress,2024-03-25,Disapprove,65.58449852242535,57.88415108352852,73.28484596132218
Congress,2024-03-24,Approve,22.03726383577035,15.35774431150153,28.71678336003917
Congress,2024-03-24,Disapprove,65.60216370201022,57.90181626311339,73.30251114090704
Congress,2024-03-23,Approve,22.137357023449688,15.462347821144885,28.81236622575449
Congress,2024-03-23,Disapprove,66.16889077530419,58.744832500376376,73.59294905023201
Congress,2024-03-22,Approve,20.492732281803992,13.794296874644068,27.191167688963915
Congress,2024-03-22,Disapprove,66.79031293748461,59.351863435184164,74.22876243978507
Congress,2024-03-21,Approve,20.49273228180399,13.794296874644065,27.191167688963912
Congress,2024-03-21,Disapprove,66.79031293748463,59.35186343518418,74.22876243978509
Congress,2024-03-20,Approve,20.525236819391946,13.82680246636751,27.22367117241638
Congress,2024-03-20,Disapprove,66.84069482688793,59.40224564870375,74.27914400507211
Congress,2024-03-19,Approve,20.5252857767697,13.826872809101797,27.223698744437602
Congress,2024-03-19,Disapprove,66.84068841246514,59.40223629060507,74.27914053432522
Congress,2024-03-18,Approve,21.179187452696187,14.472333541112143,27.88604136428023
Congress,2024-03-18,Disapprove,65.86333244915242,58.21123329687322,73.51543160143163
Congress,2024-03-17,Approve,21.179187452696183,14.472333541112139,27.886041364280228
Congress,2024-03-17,Disapprove,65.86333244915241,58.2112332968732,73.51543160143162
Congress,2024-03-16,Approve,21.276937366370895,14.50668858542854,28.047186147313248
Congress,2024-03-16,Disapprove,66.13747242746616,58.473506212842956,73.80143864208938
Congress,2024-03-15,Approve,21.27520545125897,14.504956670316615,28.045454232201322
Congress,2024-03-15,Disapprove,66.13739618809237,58.47342997346916,73.80136240271557
Congress,2024-03-14,Approve,21.27520545125897,14.504956670316615,28.045454232201322
Congress,2024-03-14,Disapprove,66.13739618809238,58.47342997346917,73.8013624027156
Congress,2024-03-13,Approve,21.275142057790518,14.507700756224562,28.042583359356474
Congress,2024-03-13,Disapprove,66.13748614207383,58.473440508765954,73.80153177538169
Congress,2024-03-12,Approve,21.24015569610391,14.513953795148563,27.966357597059254
Congress,2024-03-12,Disapprove,65.09329481982658,57.319690366626624,72.86689927302655
Congress,2024-03-11,Approve,21.524301041721234,14.818637451498747,28.229964631943723
Congress,2024-03-11,Disapprove,64.44231065325755,56.83907884363646,72.04554246287864
Congress,2024-03-10,Approve,21.524301041721234,14.818637451498747,28.229964631943723
Congress,2024-03-10,Disapprove,64.44231065325754,56.83907884363644,72.04554246287863
Congress,2024-03-09,Approve,21.565725972851943,14.728567127724387,28.402884817979498
Congress,2024-03-09,Disapprove,64.53421344502378,56.99474375660924,72.07368313343832
Congress,2024-03-08,Approve,21.565725972851943,14.728567127724387,28.402884817979498
Congress,2024-03-08,Disapprove,64.53421344502378,56.99474375660924,72.07368313343832
