Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
108.0,9,Alabama,9,32,60,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Alabama,9,38,57,,Mar 03,,,,,,,,Florida Atlantic U.-4
108.0,9,Alaska,3,43,50,,Apr 21,,,,,,,,Zogby-9
124.5,12,Arizona,11,43,49,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Arizona,11,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,Arizona,11,40,51,,Apr 21,,,,,,,,Zogby-9
101.5,6,Arizona,11,42,49,,Apr 13,,,,,,,,Morning Consult-6
 89.5,4,Arizona,11,36,39,,Mar 31,,,,,,,,RABA Research-4
 80.5,8,Arizona,11,42,47,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 73.5,4,Arizona,11,48,52,,Mar 15,,,,,,,,Emerson Coll.-4
 71.0,7,Arizona,11,43,48,,Mar 14,,,,,,,,Morning Consult-7
 69.0,5,Arizona,11,45,49,,Mar 11,,,,,,,,Beacon + Shaw for Fox-5
 48.5,4,Arizona,11,43,46,,Feb 19,,,,,,,,Emerson Coll.-4
 47.0,9,Arizona,11,43,49,,Feb 20,,,,,,,,Morning Consult-9
 18.0,5,Arizona,11,44,47,,Jan 20,,,,,,,,Morning Consult-5
108.0,9,Arkansas,6,42,48,,Apr 21,,,,,,,,Zogby-9
108.0,9,California,54,56,38,,Apr 21,,,,,,,,Zogby-9
 82.0,7,California,54,54,31,,Mar 25,,,,,,,,Public Policy Inst. of Calif.-7
 61.5,4,California,54,56,37,,Mar 03,,,,,,,,Florida Atlantic U.-4
 56.0,3,California,54,55,32,,Feb 26,,,,,,,,Emerson Coll.-3
 55.5,6,California,54,52,34,,Feb 27,,,,,,,,U. of Cal. Berkeley-6
 40.5,8,California,54,55,32,,Feb 13,,,,,,,,Public Policy Inst. of Calif.-8
108.0,9,Colorado,10,49,43,,Apr 21,,,,,,,,Zogby-9
 77.0,5,Colorado,10,49,39,,Mar 19,,,,,,,,Colorado Polling Inst.-5
 61.5,4,Colorado,10,48,44,,Mar 03,,,,,,,,Florida Atlantic U.-4
 25.5,6,Colorado,10,41,35,,Jan 28,,,,,,,,Emerson Coll.-6
108.0,9,Connecticut,7,55,38,,Apr 21,,,,,,,,Zogby-9
  1.0,1,D.C.,3,93,6,,Jan 01,,,,,,,,Election 2020-1
108.0,9,Delaware,3,51,40,,Apr 21,,,,,,,,Zogby-9
108.0,9,Florida,30,42,51,,Apr 21,,,,,,,,Zogby-9
107.0,3,Florida,30,42,50,,Apr 17,,,,,,,,Florida Atlantic U.-3
100.5,2,Florida,30,38,51,,Apr 10,,,,,,,,Emerson Coll.-2
 97.0,3,Florida,30,31,39,,Apr 07,,,,,,,,Ipsos-3
 72.0,3,Florida,30,42,48,,Mar 13,,,,,,,,St. Pete Polls-3
124.5,12,Georgia,16,41,50,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Georgia,16,49,51,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,Georgia,16,44,47,,Apr 21,,,,,,,,Zogby-9
104.5,6,Georgia,16,45,51,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Georgia,16,43,49,,Apr 13,,,,,,,,Morning Consult-6
 80.5,8,Georgia,16,43,44,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 72.5,4,Georgia,16,47,51,,Mar 14,,,,,,,,Marist Coll.-4
 70.0,5,Georgia,16,42,49,,Mar 12,,,,,,,,Morning Consult-5
 67.5,8,Georgia,16,48,51,,Mar 11,,,,,,,,YouGov-8
 66.0,3,Georgia,16,48,52,,Mar 07,,,,,,,,Emerson Coll.-3
 47.0,9,Georgia,16,43,49,,Feb 20,,,,,,,,Morning Consult-9
 46.0,3,Georgia,16,42,48,,Feb 16,,,,,,,,Emerson Coll.-3
 28.0,5,Georgia,16,43,51,,Jan 30,,,,,,,,Beacon+Shaw for Fox-5
 18.5,6,Georgia,16,41,49,,Jan 21,,,,,,,,Morning Consult-6
  7.0,9,Georgia,16,37,45,,Jan 11,,,,,,,,U. of Georgia.-9
108.0,9,Hawaii,4,55,33,,Apr 21,,,,,,,,Zogby-9
108.0,9,Idaho,4,31,60,,Apr 21,,,,,,,,Zogby-9
105.5,4,Idaho,4,28,63,,Apr 16,,,,,,,,Civiqs-4
108.0,9,Illinois,19,53,40,,Apr 21,,,,,,,,Zogby-9
108.0,9,Indiana,11,43,47,,Apr 21,,,,,,,,Zogby-9
 63.5,4,Indiana,11,34,55,,Mar 05,,,,,,,,Emerson Coll.-4
108.0,9,Iowa,6,45,47,,Apr 21,,,,,,,,Zogby-9
 57.5,4,Iowa,6,33,48,,Feb 28,,,,,,,,Selzer-4
  3.0,3,Iowa,6,39,51,,Jan 04,,,,,,,,Zogby-3
108.0,9,Kansas,6,44,49,,Apr 21,,,,,,,,Zogby-9
108.0,9,Kentucky,8,35,60,,Apr 21,,,,,,,,Zogby-9
115.0,5,Louisiana,8,33,48,,Apr 26,,,,,,,,Faucheux Strategies-5
