model_date,timestamp,cycle,state,created_at,start_date,end_date,election_date,pollster_rating_name,pollster_rating_id,poll_id,question_id,url,partisan,tracking,sample_size,methodology,population,party,candidate_name,pct,raw_sample_size,days_til_election,candidates_tested,poll_sample_size_weight,med_date,number_options,tested_third_party,excludesthirdparty,undecided,numeric_grade,pollster_wt,has_pollster_rating,n_polls_pollster_per_date,number_polls_in_window,frequency_weight,n_states_polled_per_date,number_states_polled_in_window,geo_volume_weight,combined_frequency_weight,cumulative_poll_wt,methodology_simple,response_num,response_cat,state_num,state_abb,region_computed,region_census_big,region_census_small,region,region_num,response,pollster,pollster_coded,state_pollster,state_pollster_coded,mode,mode_coded,day_of_timeline,major_candidate_still_running
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-09-18,2024-09-15,2024-09-17,2024-11-05,YouGov,391,88208,209883,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,NA,NA,1445,Online Panel,rv,DEM,Kamala Harris,49,1445,49,Cornel West Donald Trump Jill Stein Kamala Harris,1.2020815280171309,2024-09-16,4,0,1,6,3,1.3284223283101428,TRUE,1,3,0.778995895790124,0,3,0.8470728,0.778995895790124,1.0348355416295618,Online Non-Prob Panel,1,DEM,57,NA,NA,NA,NA,NA,NA,49,391,59,NA391,133,Online Non-Prob Panel,6,57,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-09-18,2024-09-15,2024-09-17,2024-11-05,YouGov,391,88208,209883,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,NA,NA,1445,Online Panel,rv,REP,Donald Trump,45,1445,49,Cornel West Donald Trump Jill Stein Kamala Harris,1.2020815280171309,2024-09-16,4,0,1,6,3,1.3284223283101428,TRUE,1,3,0.778995895790124,0,3,0.8470728,0.778995895790124,1.0348355416295618,Online Non-Prob Panel,2,REP,57,NA,NA,NA,NA,NA,NA,45,391,59,NA391,133,Online Non-Prob Panel,6,57,1
2024-09-18,2024-09-18T17:02:41Z,2024,New Hampshire,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88219,209938,https://scholars.unh.edu/survey_center_polls/818/,NA,NA,1500,Probability Panel,lv,DEM,Kamala Harris,54,1695,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,1.3019216566291538,2024-09-14,4,0,1,3,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,1,DEM,35,NH,New England,Northeast,New England,New England,3,54,357,56,NH357,184,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,New Hampshire,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88219,209938,https://scholars.unh.edu/survey_center_polls/818/,NA,NA,1500,Probability Panel,lv,REP,Donald Trump,43,1695,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,1.3019216566291538,2024-09-14,4,0,1,3,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,2,REP,35,NH,New England,Northeast,New England,New England,3,43,357,56,NH357,184,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,Massachusetts,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88218,209937,https://scholars.unh.edu/survey_center_polls/819/,NA,NA,564,Probability Panel,lv,DEM,Kamala Harris,62,564,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,0.7509993342207435,2024-09-14,4,0,1,7,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,1,DEM,24,MA,New England,Northeast,New England,New England,3,62,357,56,MA357,64,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,Massachusetts,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88218,209937,https://scholars.unh.edu/survey_center_polls/819/,NA,NA,564,Probability Panel,lv,REP,Donald Trump,31,564,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,0.7509993342207435,2024-09-14,4,0,1,7,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,2,REP,24,MA,New England,Northeast,New England,New England,3,31,357,56,MA357,64,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,Rhode Island,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88217,209936,https://scholars.unh.edu/survey_center_polls/820/,NA,NA,683,Probability Panel,lv,DEM,Kamala Harris,58,683,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,0.8264381404557755,2024-09-14,4,0,1,4,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,1,DEM,45,RI,Northeast,Northeast,New England,Northeast,4,58,357,56,RI357,241,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,Rhode Island,2024-09-18,2024-09-12,2024-09-16,2024-11-05,University of New Hampshire Survey Center,357,88217,209936,https://scholars.unh.edu/survey_center_polls/820/,NA,NA,683,Probability Panel,lv,REP,Donald Trump,38,683,50,Chase Oliver Donald Trump Jill Stein Kamala Harris,0.8264381404557755,2024-09-14,4,0,1,4,2.6,1.2366938848016846,TRUE,1,1,1,3,3,0.8470728,1,1.2366938848016846,Online Prob Panel,2,REP,45,RI,Northeast,Northeast,New England,Northeast,4,38,357,56,RI357,241,Online Prob Panel,7,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-09-18,2024-09-11,2024-09-17,2024-11-05,ActiVote,721,88216,209920,https://www.activote.net/harris-widens-lead-after-debate/,NA,NA,1000,App Panel,lv,DEM,Kamala Harris,52.7,1000,49,Donald Trump Kamala Harris,1,2024-09-14,2,0,1,0,NA,0.5,FALSE,1,2,0.778995895790124,1,2,0.8643599999999999,0.6733328924851515,0.33666644624257575,River Sample,1,DEM,57,NA,NA,NA,NA,NA,NA,52.7,721,80,NA721,148,River Sample,9,55,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-09-18,2024-09-11,2024-09-17,2024-11-05,ActiVote,721,88216,209920,https://www.activote.net/harris-widens-lead-after-debate/,NA,NA,1000,App Panel,lv,REP,Donald Trump,47.3,1000,49,Donald Trump Kamala Harris,1,2024-09-14,2,0,1,0,NA,0.5,FALSE,1,2,0.778995895790124,1,2,0.8643599999999999,0.6733328924851515,0.33666644624257575,River Sample,2,REP,57,NA,NA,NA,NA,NA,NA,47.3,721,80,NA721,148,River Sample,9,55,1
