year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes,percentage_of_votes
2020,ALABAMA,AL,"BIDEN, JOSEPH R. JR",DEMOCRAT,849624,2323282,0.365699902
2020,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,1441170,2323282,0.620316432
2020,ALASKA,AK,"BIDEN, JOSEPH R. JR",DEMOCRAT,153778,359530,0.427719523
2020,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,189951,359530,0.528331433
2020,ARIZONA,AZ,"BIDEN, JOSEPH R. JR",DEMOCRAT,1672143,3387326,0.493646906
2020,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,1661686,3387326,0.49055981
2020,ARKANSAS,AR,"BIDEN, JOSEPH R. JR",DEMOCRAT,423932,1219069,0.34775062
2020,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,760647,1219069,0.623957299
2020,CALIFORNIA,CA,"BIDEN, JOSEPH R. JR",DEMOCRAT,11110250,17500881,0.634839469
2020,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,6006429,17500881,0.343207236
2020,COLORADO,CO,"BIDEN, JOSEPH R. JR",DEMOCRAT,1804352,3279980,0.550110671
2020,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,1364607,3279980,0.416041256
2020,CONNECTICUT,CT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1080831,1823857,0.592607315
2020,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,714717,1823857,0.391871183
2020,DELAWARE,DE,"BIDEN, JOSEPH R. JR",DEMOCRAT,296268,504346,0.587430058
2020,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,200603,504346,0.397748768
2020,DISTRICT OF COLUMBIA,DC,"BIDEN, JOSEPH R. JR",DEMOCRAT,317323,344356,0.921496939
2020,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,18586,344356,0.053973214
2020,FLORIDA,FL,"BIDEN, JOSEPH R. JR",DEMOCRAT,5297045,11067456,0.478614507
2020,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,5668731,11067456,0.512198196
2020,GEORGIA,GA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2473633,4999960,0.494730558
2020,GEORGIA,GA,"TRUMP, DONALD J.",REPUBLICAN,2461854,4999960,0.492374739
2020,HAWAII,HI,"BIDEN, JOSEPH R. JR",DEMOCRAT,366130,579784,0.631493798
2020,HAWAII,HI,"TRUMP, DONALD J.",REPUBLICAN,196864,579784,0.339547142
2020,IDAHO,ID,"BIDEN, JOSEPH R. JR",DEMOCRAT,287021,868014,0.330664022
2020,IDAHO,ID,"TRUMP, DONALD J.",REPUBLICAN,554119,868014,0.638375648
2020,ILLINOIS,IL,"BIDEN, JOSEPH R. JR",DEMOCRAT,3471915,6033743,0.575416454
2020,ILLINOIS,IL,"TRUMP, DONALD J.",REPUBLICAN,2446891,6033743,0.405534508
2020,INDIANA,IN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1242416,3033118,0.409616771
2020,INDIANA,IN,"TRUMP, DONALD J.",REPUBLICAN,1729519,3033118,0.570211578
2020,IOWA,IA,"TRUMP, DONALD J.",REPUBLICAN,897672,1700130,0.528001976
2020,IOWA,IA,"BIDEN, JOSEPH R. JR",DEMOCRAT,759061,1700130,0.446472329
2020,KANSAS,KS,"TRUMP, DONALD J.",REPUBLICAN,771406,1372303,0.562125128
2020,KANSAS,KS,"BIDEN, JOSEPH R. JR",DEMOCRAT,570323,1372303,0.415595535
2020,KENTUCKY,KY,"TRUMP, DONALD J.",REPUBLICAN,1326646,2136768,0.620865719
2020,KENTUCKY,KY,"BIDEN, JOSEPH R. JR",DEMOCRAT,772474,2136768,0.361515148
2020,LOUISIANA,LA,"BIDEN, JOSEPH R. JR",DEMOCRAT,856034,2148062,0.398514568
2020,LOUISIANA,LA,"TRUMP, DONALD J.",REPUBLICAN,1255776,2148062,0.584608824
2020,MAINE,ME,"BIDEN, JOSEPH R. JR",DEMOCRAT,435072,828305,0.525255793
2020,MAINE,ME,"TRUMP, DONALD J.",REPUBLICAN,360737,828305,0.435512281
2020,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,976414,3037030,0.321502916
2020,MARYLAND,MD,"BIDEN, JOSEPH R. JR",DEMOCRAT,1985023,3037030,0.653606649
2020,MASSACHUSETTS,MA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2382202,3658005,0.651229837
2020,MASSACHUSETTS,MA,"TRUMP, DONALD J.",REPUBLICAN,1167202,3658005,0.319081576
2020,MICHIGAN,MI,"BIDEN, JOSEPH R. JR",DEMOCRAT,2804040,5539302,0.506208183
2020,MICHIGAN,MI,"TRUMP, DONALD J.",REPUBLICAN,2649852,5539302,0.478372907
2020,MINNESOTA,MN,"TRUMP, DONALD J.",REPUBLICAN,1484065,3277171,0.452849424
2020,MINNESOTA,MN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1717077,3277171,0.523950993
2020,MISSISSIPPI,MS,"BIDEN, JOSEPH R. JR",DEMOCRAT,539398,1313759,0.410576065
2020,MISSISSIPPI,MS,"TRUMP, DONALD J.",REPUBLICAN,756764,1313759,0.576029546
2020,MISSOURI,MO,"TRUMP, DONALD J.",REPUBLICAN,1718736,3025962,0.567996558
2020,MISSOURI,MO,"BIDEN, JOSEPH R. JR",DEMOCRAT,1253014,3025962,0.414087817
2020,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,343602,603674,0.569184692
2020,MONTANA,MT,"BIDEN, JOSEPH R. JR",DEMOCRAT,244786,603674,0.405493694
2020,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,556846,956383,0.582241633
2020,NEBRASKA,NE,"BIDEN, JOSEPH R. JR",DEMOCRAT,374583,956383,0.391666309
2020,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,669890,1405376,0.476662473
2020,NEVADA,NV,"BIDEN, JOSEPH R. JR",DEMOCRAT,703486,1405376,0.50056782
2020,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,365654,806182,0.453562595
2020,NEW HAMPSHIRE,NH,"BIDEN, JOSEPH R. JR",DEMOCRAT,424921,806182,0.527078253
2020,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,1883274,4549353,0.413965239
2020,NEW JERSEY,NJ,"BIDEN, JOSEPH R. JR",DEMOCRAT,2608335,4549353,0.573341968
2020,NEW MEXICO,NM,"BIDEN, JOSEPH R. JR",DEMOCRAT,501614,923965,0.542892858
2020,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,401894,923965,0.434966692
2020,NEW YORK,NY,"BIDEN, JOSEPH R. JR",DEMOCRAT,5230985,8661735,0.603918845
2020,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,3244798,8661735,0.374612938
2020,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,2758773,5524802,0.499343325
2020,NORTH CAROLINA,NC,"BIDEN, JOSEPH R. JR",DEMOCRAT,2684292,5524802,0.485862118
2020,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,235595,361819,0.651140487
2020,NORTH DAKOTA,ND,"BIDEN, JOSEPH R. JR",DEMOCRAT,114902,361819,0.317567624
2020,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,3154834,5922202,0.532713001
2020,OHIO,OH,"BIDEN, JOSEPH R. JR",DEMOCRAT,2679165,5922202,0.452393383
2020,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1020280,1560699,0.653732718
2020,OKLAHOMA,OK,"BIDEN, JOSEPH R. JR",DEMOCRAT,503890,1560699,0.322861743
2020,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,958448,2374321,0.40367246
2020,OREGON,OR,"BIDEN, JOSEPH R. JR",DEMOCRAT,1340383,2374321,0.564533187
2020,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,3377674,6915283,0.48843612
2020,PENNSYLVANIA,PA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3458229,6915283,0.500084957
2020,RHODE ISLAND,RI,"BIDEN, JOSEPH R. JR",DEMOCRAT,307486,516990,0.594761988
2020,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,199922,516990,0.386703805
2020,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,1385103,2514096,0.550934809
2020,SOUTH CAROLINA,SC,"BIDEN, JOSEPH R. JR",DEMOCRAT,1091541,2514096,0.434168385
2020,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,261043,422609,0.617693897
2020,SOUTH DAKOTA,SD,"BIDEN, JOSEPH R. JR",DEMOCRAT,150471,422609,0.356052521
2020,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,1852475,3053851,0.606602942
2020,TENNESSEE,TN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1143711,3053851,0.374514343
2020,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,5890347,11315056,0.520576036
2020,TEXAS,TX,"BIDEN, JOSEPH R. JR",DEMOCRAT,5259126,11315056,0.464790099
2020,UTAH,UT,"BIDEN, JOSEPH R. JR",DEMOCRAT,560282,1488289,0.376460486
2020,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,865140,1488289,0.58129839
2020,VERMONT,VT,"BIDEN, JOSEPH R. JR",DEMOCRAT,242820,370968,0.654557806
2020,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,112704,370968,0.303810571
2020,VIRGINIA,VA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2413568,4460524,0.541095172
2020,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,1962430,4460524,0.439955037
2020,WASHINGTON,WA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2369612,4087631,0.579703011
2020,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,1584651,4087631,0.387669777
2020,WEST VIRGINIA,WV,"BIDEN, JOSEPH R. JR",DEMOCRAT,235984,794652,0.296965212
2020,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,545382,794652,0.686315519
2020,WISCONSIN,WI,"BIDEN, JOSEPH R. JR",DEMOCRAT,1630866,3298041,0.494495369
2020,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,1610184,3298041,0.488224373
2020,WYOMING,WY,"BIDEN, JOSEPH R. JR",DEMOCRAT,73491,278503,0.263878666
2020,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,193559,278503,0.694997899
2020,Nation-wide,NW,"BIDEN, JOSEPH R. JR",DEMOCRAT,81283501,158429631,0.513057441
2020,Nation-wide,NW,"TRUMP, DONALD J.",REPUBLICAN,74223975,158429631,0.468498061
