date,days_in_office,approval_rating,politician
2017-01-22,2,45.57044673539519,Donald Trump
2017-01-23,3,45.0,Donald Trump
2017-01-24,4,46.83053091486826,Donald Trump
2017-01-25,5,44.25863586358636,Donald Trump
2017-01-26,6,46.43377173091459,Donald Trump
2017-01-27,7,44.50161042944785,Donald Trump
2017-01-28,8,46.24966471081307,Donald Trump
2017-01-29,9,48.61751824817518,Donald Trump
2017-01-30,10,48.16327436355791,Donald Trump
2017-01-31,11,46.74398065476191,Donald Trump
2017-02-01,12,46.95761429003936,Donald Trump
2017-02-02,13,46.06594468250877,Donald Trump
2017-02-03,14,45.989634558989394,Donald Trump
2017-02-04,15,45.945321959273535,Donald Trump
2017-02-05,16,46.84399412960036,Donald Trump
2017-02-06,17,46.44947836497349,Donald Trump
2017-02-07,18,45.70874630645842,Donald Trump
2017-02-08,19,46.53109756097561,Donald Trump
2017-02-09,20,46.59774712643678,Donald Trump
2017-02-10,21,46.479759406910055,Donald Trump
2017-02-11,22,45.580275144078826,Donald Trump
2017-02-12,23,45.32790199809705,Donald Trump
2017-02-13,24,46.29421315570358,Donald Trump
2017-02-14,25,44.85890446976337,Donald Trump
2017-02-15,26,45.92642735042735,Donald Trump
2017-02-16,27,44.93276080691643,Donald Trump
2017-02-17,28,45.47631558964234,Donald Trump
2017-02-18,29,43.60742087254063,Donald Trump
2017-02-19,30,43.853875071198026,Donald Trump
2017-02-20,31,45.492353542234326,Donald Trump
2017-02-21,32,44.074301940369146,Donald Trump
2017-02-22,33,45.56056843913485,Donald Trump
2017-02-23,34,45.051516617663474,Donald Trump
2017-02-24,35,43.523962213943584,Donald Trump
2017-02-25,36,43.77826723449561,Donald Trump
2017-02-26,37,46.32463167587477,Donald Trump
2017-02-27,38,45.58702886247878,Donald Trump
2017-02-28,39,46.04008315541072,Donald Trump
2017-03-01,40,45.39380003558086,Donald Trump
2017-03-02,41,46.28435717625059,Donald Trump
2017-03-03,42,45.514790224608,Donald Trump
2017-03-04,43,44.53122590593678,Donald Trump
2017-03-05,44,46.84612725643324,Donald Trump
2017-03-06,45,46.085394921327314,Donald Trump
2017-03-07,46,45.05861818181818,Donald Trump
2017-03-08,47,46.50267878215719,Donald Trump
2017-03-09,48,47.34622211723417,Donald Trump
2017-03-10,49,46.40147267063155,Donald Trump
2017-03-11,50,46.07159676232524,Donald Trump
2017-03-12,51,43.715746066948505,Donald Trump
2017-03-13,52,46.53843486410496,Donald Trump
2017-03-14,53,43.86817030854356,Donald Trump
2017-03-15,54,44.067716810044175,Donald Trump
2017-03-16,55,45.957492120282815,Donald Trump
2017-03-17,56,43.4747736574476,Donald Trump
2017-03-18,57,42.03416276346604,Donald Trump
2017-03-19,58,45.823314442055896,Donald Trump
2017-03-20,59,45.30047192526245,Donald Trump
2017-03-21,60,43.46619579500656,Donald Trump
2017-03-22,61,44.54423261390888,Donald Trump
2017-03-23,62,43.33566579161764,Donald Trump
2017-03-24,63,44.53853475627344,Donald Trump
2017-03-25,64,43.81516286460106,Donald Trump
2017-03-26,65,42.08264363679981,Donald Trump
2017-03-27,66,41.37384467265725,Donald Trump
2017-03-28,67,41.18588473836076,Donald Trump
2017-03-29,68,40.903807059693214,Donald Trump
2017-03-30,69,43.1042391372109,Donald Trump
2017-03-31,70,43.86733701366983,Donald Trump
2017-04-01,71,44.519969512195125,Donald Trump
2017-04-02,72,43.46915142492556,Donald Trump
2017-04-03,73,42.613037588892645,Donald Trump
2017-04-04,74,43.577050639055166,Donald Trump
2017-04-05,75,42.8291975660772,Donald Trump
2017-04-06,76,42.58542518837459,Donald Trump
2017-04-07,77,42.39551820728291,Donald Trump
2017-04-08,78,43.12167536313637,Donald Trump
2017-04-09,79,45.4317136344799,Donald Trump
2017-04-10,80,45.918027533823874,Donald Trump
2017-04-11,81,43.83407104595433,Donald Trump
2017-04-12,82,43.63750846883468,Donald Trump
2017-04-13,83,45.00577198113006,Donald Trump
2017-04-14,84,44.35400267737617,Donald Trump
2017-04-15,85,44.93894493484657,Donald Trump
2017-04-16,86,46.7125529953917,Donald Trump
2017-04-17,87,45.66555928411633,Donald Trump
2017-04-18,88,42.07622293723074,Donald Trump
2017-04-19,89,43.93743163172288,Donald Trump
2017-04-20,90,44.52992474877308,Donald Trump
2017-04-21,91,42.5202557544757,Donald Trump
2017-04-22,92,41.160495480415136,Donald Trump
2017-04-23,93,43.428739225158665,Donald Trump
2017-04-24,94,43.767759444203215,Donald Trump
2017-04-25,95,42.086311612124,Donald Trump
2017-04-26,96,42.51311700665892,Donald Trump
2017-04-27,97,45.295983323164535,Donald Trump
2017-04-28,98,42.65356517680009,Donald Trump
2017-04-29,99,42.4674919614148,Donald Trump
2017-04-30,100,44.649621630813705,Donald Trump
2017-05-01,101,44.21133202843309,Donald Trump
2017-05-02,102,44.28652442448064,Donald Trump
2017-05-03,103,44.71393574297189,Donald Trump
2017-05-04,104,44.92303168993685,Donald Trump
2017-05-05,105,42.987526078840446,Donald Trump
2017-05-06,106,42.839413888299,Donald Trump
2017-05-07,107,43.67634506242906,Donald Trump
2017-05-08,108,42.94476730987515,Donald Trump
2017-05-09,109,42.76524626452685,Donald Trump
2017-05-10,110,42.17182694514574,Donald Trump
2017-05-11,111,43.65455536109368,Donald Trump
2017-05-12,112,41.22534782032596,Donald Trump
2017-05-13,113,40.542986981085726,Donald Trump
2017-05-14,114,41.27920392022008,Donald Trump
2017-05-15,115,40.49344094577697,Donald Trump
2017-05-16,116,39.7919612216884,Donald Trump
2017-05-17,117,40.3018455292055,Donald Trump
2017-05-18,118,39.57257236516576,Donald Trump
2017-05-19,119,37.71815792931284,Donald Trump
2017-05-20,120,42.55490196078431,Donald Trump
2017-05-21,121,38.973920647065256,Donald Trump
2017-05-22,122,39.768385278514586,Donald Trump
2017-05-23,123,39.74029268292683,Donald Trump
2017-05-24,124,40.493758155719874,Donald Trump
2017-05-25,125,41.55218900077459,Donald Trump
2017-05-26,126,39.3037009893734,Donald Trump
2017-05-27,127,40.18104863408061,Donald Trump
2017-05-28,128,41.82523037813791,Donald Trump
2017-05-29,129,41.40046923323025,Donald Trump
2017-05-30,130,40.804315025029965,Donald Trump
2017-05-31,131,42.06332810824189,Donald Trump
2017-06-01,132,41.63322192070951,Donald Trump
2017-06-02,133,40.2378021746015,Donald Trump
2017-06-03,134,38.661271165024,Donald Trump
2017-06-04,135,40.19518673856601,Donald Trump
2017-06-05,136,40.54568392078905,Donald Trump
2017-06-06,137,38.96524471783899,Donald Trump
2017-06-07,138,39.65663060278207,Donald Trump
2017-06-08,139,41.311973585472,Donald Trump
2017-06-09,140,39.05102621722847,Donald Trump
2017-06-10,141,37.01310408921933,Donald Trump
2017-06-11,142,39.099584094136745,Donald Trump
2017-06-12,143,41.37466552192888,Donald Trump
2017-06-13,144,40.48807855430574,Donald Trump
2017-06-14,145,40.52031211899536,Donald Trump
2017-06-15,146,43.43716364533235,Donald Trump
2017-06-16,147,39.81160872127283,Donald Trump
2017-06-17,148,38.05701924511413,Donald Trump
2017-06-18,149,38.38862326835847,Donald Trump
2017-06-19,150,40.86496686833765,Donald Trump
2017-06-20,151,39.695048047117176,Donald Trump
2017-06-21,152,42.591835760324656,Donald Trump
2017-06-22,153,43.39139605420598,Donald Trump
2017-06-23,154,38.287540500736384,Donald Trump
2017-06-24,155,39.82469262295082,Donald Trump
2017-06-25,156,39.20431668417535,Donald Trump
2017-06-26,157,37.77897098414598,Donald Trump
2017-06-27,158,40.08723566525688,Donald Trump
2017-06-28,159,39.34153809636839,Donald Trump
2017-06-29,160,41.09807814220413,Donald Trump
